Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,Urban_Rural
Argonne National Lab,Illinois,Dry,Storage Facility,41.72,-87.9783,,,,,,,,Mixed
Savannah River Site,Georgia,Dry/Wet,Storage Facility,33.3403,-81.7453,,,,,,,,Rural
BWX Technologies - Fuel Cycle Facility,Virginia,Wet,Other,37.403611,-79.77,37.401846,-79.773983,0.96,rooftop,1237 Villamont Church Rd,,"Blue Ridge, VA 24064",No
Point Beach,Wisconsin,Dry/Wet,NPP,44.2811,-87.5367,1694.0,643.09,56.0,1134,443.57,2828.0,1086.66,Mixed
Kewaunee,Wisconsin,Dry/Wet,NPP,44.3422,-87.5361,1335.0,518.7,38.0,0,0,1335.0,518.7,Rural
Columbia Generating Station,Washington,Dry/Wet,NPP,46.4711,-119.3339,3672.0,645.63,54.0,1192,216.19,4864.0,861.82,
Surry,Virginia,Dry/Wet,NPP,37.1656,-76.6978,2824.0,1295.01,97.0,830,380.23,3654.0,1675.24,Rural
North Anna,Virginia,Dry/Wet,NPP,38.0606,-77.7894,2397.0,1111.67,74.0,1232,569.17,3629.0,1680.84,Rural
Vermont Yankee,Vermont,Dry/Wet,NPP,42.7789,-72.5131,3880.0,705.66,58.0,0,0,3880.0,705.66,Mixed
South Texas,Texas,Wet,NPP,28.7956,-96.0489,814.0,436.21,22.0,2423,1296.93,3237.0,1733.14,Rural
Comanche Peak,Texas,Dry/Wet,NPP,32.2983,-97.785,1728.0,720.15,54.0,1901,808.06,3629.0,1528.21,
Watts Bar,Tennessee,Wet,NPP,35.6028,-84.7894,962.0,443.26,26.0,790,363.18,1752.0,806.44,Rural
Sequoyah,Tennessee,Dry/Wet,NPP,35.2264,-85.0917,2370.0,1086.12,70.0,1548,704.19,3918.0,1790.31,Mixed
Summer,South Carolina,Dry/Wet,NPP,34.2986,-81.3147,444.0,188.81,12.0,1256,535.78,1700.0,724.59,Rural
Robinson,South Carolina,Dry/Wet,NPP,34.4028,-80.1583,800.0,346.42,39.0,302,128.6,1102.0,475.02,Mixed
Oconee,South Carolina,Dry/Wet,NPP,34.7939,-82.8981,4080.0,1907.35,170.0,1455,695.04,5535.0,2602.39,Mixed
Catawba,South Carolina,Dry/Wet,NPP,35.0517,-81.07,1686.0,757.25,54.0,2076,929.08,3762.0,1686.33,Mixed
Three Mile Island,Pennsylvania,Wet,NPP,40.1539,-76.7247,1663.0,786.49,46.0,0,0,1663.0,786.49,Mixed
Susqehanna,Pennsylvania,Dry/Wet,NPP,41.0889,-76.1489,7672.0,1352.67,127.0,3809,674.47,11481.0,2027.14,Mixed
Peach Bottom,Pennsylvania,Dry/Wet,NPP,39.7583,-76.2681,7324.0,1322.42,104.0,5478,992.6,12802.0,2315.02,Rural
Limerick,Pennsylvania,Dry/Wet,NPP,40.2267,-75.5872,3889.0,686.45,61.0,6166,1118.79,10055.0,1805.24,Urban
Beaver Valley,Pennsylvania,Dry/Wet,NPP,40.6233,-80.4306,740.0,342.16,20.0,2374,1096.19,3114.0,1438.35,Rural
Perry,Ohio,Dry/Wet,NPP,41.8008,-81.1433,1877.0,340.15,27.0,3055,550.52,4932.0,890.67,Mixed
Davis-Besse,Ohio,Dry/Wet,NPP,41.5967,-83.0864,496.0,238.02,15.0,1014,481.96,1510.0,719.98,Rural
Shearon Harris,North Carolina,Wet,NPP,35.6333,-78.955,0.0,0.0,0.0,6417,1704.32,6417.0,1704.32,Mixed
McGuire,North Carolina,Dry/Wet,NPP,35.4325,-80.9483,2287.0,1023.87,73.0,2002,910.7,4289.0,1934.57,Mixed
Brunswick,North Carolina,Dry/Wet,NPP,33.9583,-78.0103,3172.0,561.35,52.0,2146,470.57,5318.0,1031.92,Mixed
Nine Mile Point,New York,Dry/Wet,NPP,43.5208,-76.4069,3330.0,588.36,50.0,5706,1019.38,9036.0,1607.74,Mixed
Indian Point,New York,Dry/Wet,NPP,41.2697,-73.9522,2443.0,1070.01,77.0,1558,706.61,4001.0,1776.62,Mixed
Ginna,New York,Dry/Wet,NPP,43.2778,-77.31,448.0,163.95,14.0,1109,416.42,1557.0,580.37,Rural
FitzPatrick,New York,Dry/Wet,NPP,43.5233,-76.3983,2176.0,389.12,32.0,2428,448.87,4604.0,837.99,Mixed
Oyster Creek,New Jersey,Dry/Wet,NPP,39.8147,-74.205,4504.0,802.24,67.0,0,0,4504.0,802.24,Mixed
Hope Creek/Salem,New Jersey,Dry/Wet,NPP,39.4678,-75.5381,3752.0,1078.17,79.0,5325,1605.75,9077.0,2683.92,
Seabrook,New Hampshire,Dry/Wet,NPP,42.8989,-70.8508,960.0,439.52,30.0,727,332.55,1687.0,772.07,Mixed
Fort Calhoun,Nebraska,Dry/Wet,NPP,41.5203,-96.077222,1264.0,465.98,40.0,0,0,1264.0,465.98,Mixed
Cooper,Nebraska,Dry/Wet,NPP,40.3619,-95.6414,1830.0,329.17,30.0,1626,296.59,3456.0,625.76,Rural
