606,query_coords,latitude,longitude,formatted_address,state_abbrev,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
0,"41.72,-87.9783",41.727776,-87.983629,"I-55, Joliet, IL 60436",IL,17,17043,845803,1005,1.70438E+14,812.00,0.87,396900.00,122566.00,55.50,1812.00,0.55,0.45,0.97,0.04,0.95,0.00,0.04,0.00,0.00
1,"33.3403,-81.7453",33.349009,-81.752806,"115 Pioneer Plantation Rd, Jackson, SC 29831",SC,45,45003,022100,1005,4.5003E+14,973.00,0.96,187500.00,48244.00,36.20,2189.00,0.43,0.57,0.97,0.03,0.63,0.35,0.00,0.00,0.00
2,"37.403611,-79.77",37.400404,-79.771029,"1276 Villamont Church Rd, Blue Ridge, VA 24064",VA,51,51019,030605,3025,5.1019E+14,453.00,0.82,229000.00,61750.00,61.30,910.00,0.36,0.64,0.95,0.05,0.99,0.00,0.00,0.00,0.00
3,"44.2811,-87.5367",44.284,-87.542814,"6598 E Tapawingo Rd, Two Rivers, WI 54241",WI,55,55071,010100,1001,5.5071E+14,401.00,0.70,210500.00,67250.00,55.10,619.00,0.52,0.48,0.99,0.01,0.98,0.00,0.00,0.00,0.00
4,"44.3422,-87.5361",44.34333,-87.537922,"N490 Hy, Kewaunee, WI 54216",WI,55,55061,960500,1005,5.5062E+14,587.00,0.79,256100.00,80750.00,45.70,1022.00,0.50,0.50,1.00,0.00,1.00,0.00,0.00,0.00,0.00
5,"46.4711,-119.3339",46.4711,-119.3339,"West Richland, WA 99353",WA,53,53005,012000,1013,5.3005E+14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,"37.1656,-76.6978",37.166551,-76.699485,"5850 Hog Island Rd, Surry, VA 23883",VA,51,51181,860100,1006,5.11819E+14,503.00,0.87,307200.00,68269.00,57.00,1100.00,0.48,0.52,0.99,0.01,0.39,0.60,0.00,0.00,0.00
7,"42.7789,-72.5131",42.779567,-72.514373,"320 Governor Hunt Rd, Vernon, VT 05354",VT,50,50025,968700,3019,5.0026E+14,977.00,0.97,260900.00,79601.00,42.60,2444.00,0.52,0.48,1.00,0.00,0.94,0.00,0.01,0.00,0.00
8,"28.7956,-96.0489",28.796069,-96.049916,"10960 Farm To Market Rd 521, Palacios, TX 77465",TX,48,48321,730600,1006,4.83217E+14,691.00,0.73,312900.00,76115.00,53.20,1237.00,0.64,0.36,0.53,0.47,0.66,0.00,0.21,0.00,0.00
9,"35.2264,-85.0917",35.226635,-85.092021,"2600 Igou Ferry Rd, Soddy Daisy, TN 37379",TN,47,47065,010304,4001,4.7065E+14,15323.00,0.93,269700.00,78380.00,44.50,36987.00,0.48,0.52,0.97,0.03,0.91,0.01,0.01,0.00,0.00
10,"34.2986,-81.3147",34.295577,-81.301082,"207 State Rd S-20-311, Jenkinsville, SC 29065",SC,45,45039,960100,2049,4.504E+14,443.00,0.68,102800.00,57639.00,52.80,684.00,0.46,0.54,1.00,0.00,0.16,0.80,0.02,0.00,0.00
