606,query_coords,latitude,longitude,formatted_address,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
0,"41.72,-87.9783",41.727776,-87.983629,"I-55, Joliet, IL 60436",17,17043,845803,1005,1.70438E+14,812,0.871,396900,122566,55.5,1812,0.547,0.453,0.965,0.035,0.953,0,0.043,0,0.003
1,"33.3403,-81.7453",33.349009,-81.752806,"115 Pioneer Plantation Rd, Jackson, SC 29831",45,45003,022100,1005,4.5003E+14,973,0.963,187500,48244,36.2,2189,0.431,0.569,0.967,0.033,0.632,0.347,0,0,0
2,"37.403611,-79.77",37.400404,-79.771029,"1276 Villamont Church Rd, Blue Ridge, VA 24064",51,51019,030605,3025,5.1019E+14,453,0.815,229000,61750,61.3,910,0.356,0.644,0.953,0.047,0.987,0.001,0.001,0,0
3,"44.2811,-87.5367",44.284,-87.542814,"6598 E Tapawingo Rd, Two Rivers, WI 54241",55,55071,010100,1001,5.5071E+14,401,0.698,210500,67250,55.1,619,0.522,0.478,0.99,0.01,0.984,0.003,0,0,0
4,"44.3422,-87.5361",44.34333,-87.537922,"N490 Hy, Kewaunee, WI 54216",55,55061,960500,1005,5.5062E+14,587,0.794,256100,80750,45.7,1022,0.502,0.498,0.997,0.003,0.995,0,0,0,0
5,"46.4711,-119.3339",46.4711,-119.3339,"West Richland, WA 99353",53,53005,012000,1013,5.3005E+14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"37.1656,-76.6978",37.166551,-76.699485,"5850 Hog Island Rd, Surry, VA 23883",51,51181,860100,1006,5.11819E+14,503,0.871,307200,68269,57,1100,0.481,0.519,0.991,0.009,0.393,0.599,0,0,0
7,"42.7789,-72.5131",42.779567,-72.514373,"320 Governor Hunt Rd, Vernon, VT 05354",50,50025,968700,3019,5.0026E+14,977,0.969,260900,79601,42.6,2444,0.524,0.476,1,0,0.939,0.003,0.006,0,0
8,"28.7956,-96.0489",28.796069,-96.049916,"10960 Farm To Market Rd 521, Palacios, TX 77465",48,48321,730600,1006,4.83217E+14,691,0.731,312900,76115,53.2,1237,0.642,0.358,0.534,0.466,0.658,0,0.206,0,0
9,"35.2264,-85.0917",35.226635,-85.092021,"2600 Igou Ferry Rd, Soddy Daisy, TN 37379",47,47065,010304,4001,4.7065E+14,15323,0.927,"269,700","78,380",44.5,"36,987",0.484,0.517,0.968,0.032,0.907,0.013,0.009,0,0
10,"34.2986,-81.3147",34.295577,-81.301082,"207 State Rd S-20-311, Jenkinsville, SC 29065",45,45039,960100,2049,4.504E+14,443,0.679,102800,57639,52.8,684,0.462,0.538,1,0,0.164,0.797,0.015,0,0
11,"34.4028,-80.1583",34.401471,-80.159067,"3512 Lakeside Dr, Hartsville, SC 29550",45,45031,010200,1002,4.5031E+14,422,0.822,76200,55997,48.5,811,0.387,0.613,0.995,0.005,0.959,0,0,0,0
12,"34.7939,-82.8981",34.794653,-82.898301,"7812 Rochester Hig, Seneca, SC 29672",45,45073,030602,3011,4.5073E+14,770,0.838,500000,72344,63.8,1405,0.469,0.531,0.921,0.079,0.915,0,0,0,0
13,"35.0517,-81.07",35.051326,-81.071827,"4806 Concord Rd, York, SC 29745",45,45091,061708,1001,4.50911E+14,242,1,964800,178281,57.7,585,0.468,0.532,0.988,0.012,0.995,0,0.005,0,0
14,"40.1539,-76.7247",40.151214,-76.72449,"1 Liberty Ln - Northern Part of Tmi Is, Middletown, PA 17057",42,42043,024001,3067,4.2043E+14,1168,0.95,218100,84688,44.3,2833,0.554,0.446,0.89,0.11,0.978,0,0,0,0
15,"41.0889,-76.1489",41.088176,-76.147468,"799 Salem Blvd, Berwick, PA 18603",42,42079,216100,2016,4.20792E+14,703,0.664,174200,50893,58,899,0.528,0.472,0.98,0.02,0.995,0,0,0,0
16,"39.7583,-76.2681",39.760864,-76.266887,"1848 Lay Rd, Drumore, PA 17518",42,42071,014502,2061,4.2071E+14,398,0.985,313700,88088,39.5,1167,0.542,0.458,1,0,0.95,0.008,0,0,0
17,"40.2267,-75.5872",40.225447,-75.585638,"3146 Sanatoga Rd, Pottstown, PA 19464",42,42091,208603,4011,4.20912E+14,8459,0.964,"420,800","118,220",42.4,20718,0.466,0.533,0.969,0.031,0.875,0.008,0.057,0.001,0
18,"40.6233,-80.4306",40.624567,-80.429068,"990004A Railroad Xing, Shippingport, PA 15077",42,42007,602900,1003,4.20076E+14,622,0.928,194900,87679,46.7,1419,0.533,0.467,0.992,0.008,0.991,0.001,0,0,0
19,"41.8008,-81.1433",41.794222,-81.14575,"19 Center Rd, Perry, OH 44081",39,39085,206300,2013,3.90852E+14,399,0.932,263100,105909,50,952,0.536,0.464,0.995,0.005,0.969,0,0.003,0,0
20,"41.5967,-83.0864",41.602816,-83.080109,"7600 Sand Beach Rd, Oak Harbor, OH 43449",39,39123,050800,1003,3.91231E+14,920,0.36,159200,64844,59.3,549,0.596,0.404,0.902,0.098,0.958,0,0,0,0
21,"35.6333,-78.955",35.649457,-78.968803,"US-1, Apex, NC 27502",37,37183,053428,1060,3.71831E+14,844,1,645300,196452,23.8,3128,0.395,0.605,0.915,0.085,0.856,0.055,0.021,0,0
22,"35.4325,-80.9483",35.432308,-80.948533,"12700 Hagers Ferry Rd, Huntersville, NC 28078",37,37119,006220,1014,3.7119E+14,742,0.894,761500,131010,54.9,1424,0.469,0.531,0.967,0.033,0.874,0,0.033,0,0
23,"33.9583,-78.0103",33.958782,-78.009959,"8470 River Rd, Southport, NC 28461",37,37019,020306,1009,3.7019E+14,459,0.769,403700,68875,62.8,729,0.377,0.623,0.992,0.008,0.797,0.129,0,0,0
24,"43.5208,-76.4069",43.521247,-76.404261,"348 Lake Rd, Oswego, NY 13126",36,36075,021504,1008,3.6075E+14,440,0.698,91400,54554,38.5,604,0.374,0.626,0.993,0.007,0.973,0,0.027,0,0
