Country,Geographical Zone,ID,Site,State,Storage,Type,Unit,Latitude,Longitude,# Facilities With Fuel Onsite,SNF Inventory
,West US,,,,,,tHM,40.2090519,-117.25078315,,8774.602
,West Russia,,,,,,metric tons,56.394349818,37.646694909,,13247.006
,Wales,,,,,,MTU,53.41585,-4.48276,,40.83
,Ural (Central) Russia,,,,,,metric tons,56.272164,61.060936,,542.382
,Tohoku,,,,,,MTU,39.05646,141.25884,,7163
,Switzerland,,,,,,tHM,47.4046992,7.9829208,,1372.7
,Southwest Republic of Korea,,,,,,MTU,35.415,126.4239,,2487.9
,Southeastern Republic of Korea,,,,,,MTU,35.86425825,129.36293975,,12751.9
,South US,,,,,,tHM,33.427373259,-82.968527148,,27652.287
,South Sweden,,,,,,MTU,57.362426,15.149148,,6569
,South India,,,,,,MTU,11.863903667,77.442380667,,3468.14
,South Germany,,,,,,Mg HM,49.210521429,9.712006571,,5277
,South France,,,,,,tHM,45.140674571,2.902857143,,1572.79
,South Central China,,,,,,tHM,23.4052074,110.870351,,1607.613
,South Africa,,,,,,MTU,-29.7382,23.19095,,1731
,Shikoku,,,,,,MTU,33.4908,132.3114,,640
,Scotland and Northern Ireland,,,,,,MTU,56.757465,-3.679538667,,20.9426
,Quebec and Eastern Canada,,,,,,tHM,46.3958,-72.3569,,2546.279
,Ontario,,,,,,tHM,44.650108571,-79.980571429,,47434.994
,Northern Republic of Korea,,,,,,MTU,36.420174,127.375723,,13.2
,Northeast China,,,,,,tHM,39.7702585,118.76208,,148.914
,North India,,,,,,MTU,26.515139,77.0116665,,4887.05
,North Germany,,,,,,Mg HM,53.026982375,9.066652,,2570
,North France,,,,,,tHM,48.921069286,2.260292214,,12431.12
,North and Central Sweden,,,,,,MTU,59.876642,18.035266,,189.04
,New Brunswick,,,,,,tHM,45.0689,-66.4547,,2646.462
,Manitoba and Western Canada,,,,,,tHM,50.1783,-96.0606,,24.27
,Kyushu,,,,,,MTU,32.6746,130.01485,,1830
,Kanto,,,,,,MTU,36.388333333,140.590566667,,445
,Hokkaido,,,,,,MTU,43.0361,140.6067,,400
