,state_name,occupied_percent,house_value_median,household_income_median,age_median,malepercent,femalepercent,hispanic_percent,nonhispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent,state
0,Alabama,85.0,195100,62027,39.3,1128001,884210,1.6,27.5,3.1,0.5,0.2,1.6,94.6,01
1,Alaska,81.8,333300,89336,35.6,178458,97815,20.2,5.2,3.6,1.0,0.3,2.3,92.9,02
2,Arizona,89.0,358900,76872,38.8,1594780,1349934,6.0,6.4,26.8,0.7,0.3,3.3,69.0,04
3,Arkansas,86.0,175300,58773,38.4,705879,525644,2.4,16.4,6.2,0.3,0.1,2.2,91.2,05
4,California,92.4,695400,96334,37.6,8729012,5994486,2.8,7.2,32.3,0.6,0.3,6.7,60.2,06
5,Colorado,91.4,502200,92470,37.5,1240882,882557,2.9,5.7,15.8,0.7,0.2,5.5,77.8,08
6,Connecticut,92.5,343200,93760,41.2,733998,650772,1.2,13.6,1.8,8.2,0.4,7.4,82.2,09
7,Delaware,86.5,326800,82855,41.5,210396,201255,1.4,25.1,3.6,3.1,0.2,3.8,89.3,10
8,District of Columbia,90.3,724600,106287,34.9,125675,85501,1.6,46.7,2.1,0.8,0.4,8.2,88.4,11
9,Florida,84.8,325000,71711,42.6,4305366,4630733,1.2,17.8,3.3,5.5,7.1,10.8,73.3,12
10,Georgia,89.4,272900,74664,37.4,2542072,1581263,1.5,33.7,5.5,1.1,0.4,3.7,89.3,13
11,Hawaii,86.6,808200,98317,40.6,301472,287642,2.6,3.7,3.3,3.3,0.1,3.1,90.2,15
12,Idaho,89.3,376000,74636,37.1,463167,314391,2.8,1.4,10.8,0.4,0.1,2.1,86.7,16
13,Illinois,91.9,250500,81702,38.9,2808879,2101833,1.5,15.5,14.2,1.7,0.2,2.4,81.5,17
14,Indiana,90.8,201600,70051,38.0,1596071,1116303,1.3,11.3,5.7,0.8,0.1,1.7,91.6,18
15,Iowa,91.4,195900,73147,38.6,736579,569081,1.2,5.4,4.9,0.3,0.1,1.6,93.0,19
16,Kansas,90.3,203400,72639,37.2,704821,486659,2.7,7.6,10.4,0.6,0.2,2.1,86.7,20
17,Kentucky,89.1,192300,62417,39.1,1022746,767995,1.1,9.7,2.4,0.4,0.7,1.2,95.3,21
18,Louisiana,85.2,208700,60023,37.8,1088663,753854,1.8,33.1,2.1,0.4,0.3,4.1,93.1,22
19,Maine,78.9,266400,71773,44.8,251882,301161,1.6,2.5,0.6,0.5,0.1,0.9,97.9,23
20,Maryland,91.9,397700,101652,39.3,1375936,1003219,1.5,32.4,1.9,1.1,0.3,8.8,87.9,24
21,Massachusetts,91.6,525800,101341,40.0,1368408,1221349,1.0,10.1,0.8,4.7,0.2,7.2,87.1,25
22,Michigan,87.8,217600,71149,40.1,2154793,1824907,1.7,15.4,4.0,0.5,0.2,1.1,94.3,26
23,Minnesota,90.6,305500,87556,38.6,1317259,962143,2.2,8.7,3.9,0.3,0.1,1.9,93.8,27
24,Mississippi,84.9,161400,54915,38.4,692335,495115,1.2,38.4,1.9,0.3,0.1,1.2,96.4,28
25,Missouri,88.4,215600,68920,38.9,1386571,1079129,1.6,12.9,3.2,0.4,0.1,1.4,94.9,29
26,Montana,86.6,338100,69922,40.2,234942,217665,8.2,1.2,2.9,0.2,0.1,1.1,95.6,30
27,Nebraska,92.0,223800,74985,37.1,484750,322165,2.2,6.5,8.6,0.3,0.3,3.1,87.7,31
28,Nevada,90.5,406100,75561,38.9,692871,522417,2.9,12.0,21.4,1.0,1.2,5.6,70.8,32
29,New Hampshire,85.6,367200,95628,43.2,256906,270525,1.0,2.6,0.8,1.5,0.1,2.2,95.5,33
30,New Jersey,92.1,427600,101050,40.1,2031322,1559816,1.2,15.4,2.5,5.1,1.0,13.3,78.1,34
31,New Mexico,86.9,232200,62125,39.2,466617,397156,12.0,3.4,31.9,0.5,0.3,15.4,51.8,35
32,New York,89.8,403000,84578,39.6,4109277,3461186,1.4,17.7,2.5,5.2,0.4,11.5,80.4,36
33,North Carolina,87.0,259400,69904,39.1,2322823,1787027,2.3,22.9,5.5,1.2,0.3,3.9,89.1,37
34,North Dakota,86.7,241100,75949,35.7,184792,126120,6.4,4.2,2.7,0.5,0.0,1.2,95.5,38
35,Ohio,91.6,199200,69680,39.6,2610179,2103043,1.1,14.7,1.9,1.2,0.1,1.3,95.4,39
36,Oklahoma,87.5,185900,63603,36.9,963383,642174,13.9,9.6,9.5,0.5,0.1,2.2,87.7,40
37,Oregon,92.5,454200,80426,40.1,856294,789610,3.6,3.3,11.3,0.4,0.2,2.4,85.7,41
38,Pennsylvania,90.6,240500,76081,40.9,2673811,2476241,0.9,13.0,1.4,3.7,0.2,3.1,91.6,42
39,Rhode Island,90.2,368800,86372,40.5,208480,199921,1.7,9.7,1.2,4.0,0.3,11.6,82.9,44
40,South Carolina,86.2,236700,66818,40.1,1127062,963569,1.3,27.2,3.3,1.0,0.3,2.5,92.9,45
41,South Dakota,89.1,236800,72421,37.7,219820,158103,10.1,3.2,2.5,0.4,0.1,1.5,95.4,46
42,Tennessee,89.4,256800,67097,38.9,1558006,1172740,1.3,17.6,3.8,0.6,0.3,2.5,92.9,47
43,Texas,90.4,260400,76292,35.5,7482530,3905545,2.0,14.0,32.2,0.8,0.4,6.0,60.5,48
44,Utah,91.8,455000,91750,31.7,944132,387028,2.2,2.1,10.6,0.4,0.1,4.3,84.6,49
45,Vermont,79.9,290500,78024,43.0,117177,134141,1.4,2.2,0.6,0.5,0.2,1.2,97.5,50
46,Virginia,91.0,360700,90974,38.8,1893985,1410160,1.4,21.3,2.4,1.4,0.3,6.7,89.3,51
47,Washington,92.6,519800,94952,38.2,1675898,1259313,3.3,6.0,10.7,0.6,0.2,2.7,85.9,53
48,West Virginia,83.9,155600,57917,42.7,359411,368989,1.1,4.8,0.7,0.3,0.1,0.9,98.0,54
49,Wisconsin,88.9,247400,75670,40.1,1274310,1062121,1.8,7.6,5.4,1.1,0.1,1.2,92.2,55
50,Wyoming,86.6,285100,74815,38.8,132359,104321,3.9,1.7,7.6,0.3,0.1,2.5,89.6,56
51,Puerto Rico,78.7,124600,25096,44.2,543936,740397,2.0,14.6,0.2,95.4,0.4,2.8,1.2,72
