index,Urban_Rural,occupied_percent,house_value_median,household_income_median,age_median,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacific_percent,native_percent,missing_race,county_data,median_family_percent,site
1,Mixed,0.7,210500,67250,55.1,0.52,0.48,0.99,0.01,0.98,0,0,0,0,0.02,0,98.25,1
2,Rural,0.79,256100,80750,45.7,0.5,0.5,1,0,1,0,0,0,0,0,0,102.07,1
4,Rural,0.87,307200,68269,57,0.48,0.52,0.99,0.01,0.39,0.6,0,0,0,0.01,0,66.01,1
5,Rural,146750,472400,72182,59.6,0.61,0.4,0.98,0.02,0.93,0,0.01,0,0,0.06,0,113.61,1
6,Mixed,0.97,260900,79601,42.6,0.52,0.48,1,0,0.94,0,0.01,0,0,0.05,0,123.63,1
7,Rural,0.73,312900,76115,53.2,0.64,0.36,0.53,0.47,0.66,0,0.21,0,0,0.13,0,121.06,1
9,Rural,74514,200400,26271,38.3,0.48,0.52,0.99,0.02,0.99,0,0,0,0,0.01,0,110.45,1
10,Mixed,0.93,269700,78380,44.5,0.48,0.52,0.97,0.03,0.91,0.01,0.01,0,0,0.07,1,129.86,1
11,Rural,0.68,102800,57639,52.8,0.46,0.54,1,0,0.16,0.8,0.02,0,0,0.02,0,94.87,1
12,Mixed,0.82,76200,55997,48.5,0.39,0.61,1,0.01,0.96,0,0,0,0,0.04,0,90.51,1
13,Mixed,0.84,500000,72344,63.8,0.47,0.53,0.92,0.08,0.92,0,0,0,0,0.08,0,141.42,1
14,Mixed,1,964800,178281,57.7,0.47,0.53,0.99,0.01,1,0,0.01,0,0,-0.01,0,164.25,1
15,Mixed,0.95,218100,84688,44.3,0.55,0.45,0.89,0.11,0.98,0,0,0,0,0.02,0,87.24,1
16,Mixed,0.66,174200,50893,58,0.53,0.47,0.98,0.02,1,0,0,0,0,0,0,105.87,1
17,Rural,0.99,313700,88088,39.5,0.54,0.46,1,0,0.95,0.01,0,0,0,0.04,0,96.42,1
18,Urban,0.96,420800,118220,42.4,0.47,0.53,0.97,0.03,0.88,0.01,0.06,0,0,0.05,1,91.31,1
19,Rural,0.93,194900,87679,46.7,0.53,0.47,0.99,0.01,0.99,0,0,0,0,0.01,0,112.08,1
20,Rural,0.36,159200,64844,59.3,0.6,0.4,0.9,0.1,0.96,0,0,0,0,0.04,0,113.89,1
21,Mixed,0.89,761500,131010,54.9,0.47,0.53,0.97,0.03,0.87,0,0.03,0,0,0.1,0,167.5,1
22,Mixed,0.77,403700,68875,62.8,0.38,0.62,0.99,0.01,0.8,0.13,0,0,0,0.07,0,140.75,1
23,Mixed,0.7,91400,54554,38.5,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0,77.68,1
24,Mixed,0.7,91400,54554,38.5,0.37,0.63,0.99,0.01,0.97,0,0.03,0,0,0,0,77.68,1
25,Mixed,0.81,267600,64741,35.2,0.53,0.47,0.92,0.08,0.92,0,0,0,0,0.08,0,90.62,1
26,Mixed,0.96,514900,135811,46,0.44,0.56,0.88,0.12,0.73,0.14,0.02,0,0,0.11,0,137.8,1
