,Site,State,Storage,Type,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,Urban_Rural,query_coords,latitude,longitude,formatted_address,state_abbrev,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacific_percent,native_percent,missing_race,county_data
0,BWX Technologies - Fuel Cycle Facility,Virginia,Wet,Other,37.401846,-79.773983,0.96,,,,,Missing,"37.403611,-79.77",37.400404,-79.771029,"1276 Villamont Church Rd, Blue Ridge, VA 24064",VA,51,51019,30605,3025,510190000000000.0,453,0.82,229000,61750,61.3,910,0.36,0.64,0.95,0.05,0.99,0,0,0,0,0.01,0
1,Point Beach,Wisconsin,Dry/Wet,NPP,1694,643.09,56,1134,443.57,2828,1086.66,Mixed,"44.2811,-87.5367",44.284,-87.542814,"6598 E Tapawingo Rd, Two Rivers, WI 54241",WI,55,55071,10100,1001,550710000000000.0,401,0.7,210500,67250,55.1,619,0.52,0.48,0.99,0.01,0.98,0,0,0,0,0.02,0
2,Kewaunee,Wisconsin,Dry/Wet,NPP,1335,518.7,38,0,0,1335,518.7,Rural,"44.3422,-87.5361",44.34333,-87.537922,"N490 Hy, Kewaunee, WI 54216",WI,55,55061,960500,1005,550620000000000.0,587,0.79,256100,80750,45.7,1022,0.5,0.5,1,0,1,0,0,0,0,0,0
3,Columbia Generating Station,Washington,Dry/Wet,NPP,3672,645.63,54,1192,216.19,4864,861.82,Missing,"46.4711,-119.3339",46.4711,-119.3339,"West Richland, WA 99353",WA,53,53005,12000,1013,530050000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,Surry,Virginia,Dry/Wet,NPP,2824,1295.01,97,830,380.23,3654,1675.24,Rural,"37.1656,-76.6978",37.166551,-76.699485,"5850 Hog Island Rd, Surry, VA 23883",VA,51,51181,860100,1006,511819000000000.0,503,0.87,307200,68269,57,1100,0.48,0.52,0.99,0.01,0.39,0.6,0,0,0,0.01,0
5,North Anna,Virginia,Dry/Wet,NPP,2397,1111.67,74,1232,569.17,3629,1680.84,Rural,"38.0606,-77.7894 ",38.0606,-77.7894,1083 Haley Dr,VA,51,51109,950102,1024,511100000000000.0,539,146750,472400,72182,59.6,1006,0.61,0.4,0.98,0.02,0.93,0,0.01,0,0,0.06,0
6,Vermont Yankee,Vermont,Dry/Wet,NPP,3880,705.66,58,0,0,3880,705.66,Mixed,"42.7789,-72.5131",42.779567,-72.514373,"320 Governor Hunt Rd, Vernon, VT 05354",VT,50,50025,968700,3019,500260000000000.0,977,0.97,260900,79601,42.6,2444,0.52,0.48,1,0,0.94,0,0.01,0,0,0.05,0
7,South Texas,Texas,Wet,NPP,814,436.21,22,2423,1296.93,3237,1733.14,Rural,"28.7956,-96.0489",28.796069,-96.049916,"10960 Farm To Market Rd 521, Palacios, TX 77465",TX,48,48321,730600,1006,483217000000000.0,691,0.73,312900,76115,53.2,1237,0.64,0.36,0.53,0.47,0.66,0,0.21,0,0,0.13,0
8,Comanche Peak,Texas,Dry/Wet,NPP,1728,720.15,54,1901,808.06,3629,1528.21,Missing,"32.2983,-97.785",32.2983,-97.785,5470 N FM-56,TX,48,48425,101,3014,484250000000000.0,960,57051,233500,29984,36.5,2619,0.48,0.53,0.63,0.38,0.92,0.04,0,0,0,0.04,0
9,Watts Bar,Tennessee,Wet,NPP,962,443.26,26,790,363.18,1752,806.44,Rural,"35.6028,-84.7894",35.6028,-84.7894,1270 Nuclear Plant Rd,TN,47,47143,975100,2069,471440000000000.0,428,74514,200400,26271,38.3,1225,0.48,0.52,0.99,0.02,0.99,0,0,0,0,0.01,0
10,Sequoyah,Tennessee,Dry/Wet,NPP,2370,1086.12,70,1548,704.19,3918,1790.31,Mixed,"35.2264,-85.0917",35.226635,-85.092021,"2600 Igou Ferry Rd, Soddy Daisy, TN 37379",TN,47,47065,10304,4001,470650000000000.0,15323,0.93,269700,78380,44.5,36987,0.48,0.52,0.97,0.03,0.91,0.01,0.01,0,0,0.07,1
11,Summer,South Carolina,Dry/Wet,NPP,444,188.81,12,1256,535.78,1700,724.59,Rural,"34.2986,-81.3147",34.295577,-81.301082,"207 State Rd S-20-311, Jenkinsville, SC 29065",SC,45,45039,960100,2049,450400000000000.0,443,0.68,102800,57639,52.8,684,0.46,0.54,1,0,0.16,0.8,0.02,0,0,0.02,0
12,Robinson,South Carolina,Dry/Wet,NPP,800,346.42,39,302,128.6,1102,475.02,Mixed,"34.4028,-80.1583",34.401471,-80.159067,"3512 Lakeside Dr, Hartsville, SC 29550",SC,45,45031,10200,1002,450310000000000.0,422,0.82,76200,55997,48.5,811,0.39,0.61,1,0.01,0.96,0,0,0,0,0.04,0
13,Oconee,South Carolina,Dry/Wet,NPP,4080,1907.35,170,1455,695.04,5535,2602.39,Mixed,"34.7939,-82.8981",34.794653,-82.898301,"7812 Rochester Hig, Seneca, SC 29672",SC,45,45073,30602,3011,450730000000000.0,770,0.84,500000,72344,63.8,1405,0.47,0.53,0.92,0.08,0.92,0,0,0,0,0.08,0
