state_name,state_abbrev,house_value_median,PopulationDensity,povertyrate,household_income_median,age_median,male_percent,female_percent,white_percent,black_percent,native_percent,asian_percent,pacific_percent,hispanic_percent,nonhispanic_percent
Alabama,AL,195100,103,0.161,62027,39.3,0.485,0.515,0.654,0.261,0.004,0.016,0.003,0.0537,0.9463
Arizona,AZ,358900,68,0.128,76872,38.8,0.499,0.501,0.632,0.046,0.041,0.033,0.002,0.3104,0.6896
Arkansas,AR,175300,60,0.163,58773,38.4,0.493,0.507,0.709,0.149,0.006,0.022,0.001,0.0877,0.9123
California,CA,695400,255,0.123,96334,37.6,0.5,0.5,0.44,0.055,0.011,0.067,0.012,0.3983,0.6017
Colorado,CO,502200,58,0.097,92470,37.5,0.506,0.494,0.735,0.04,0.01,0.055,0.004,0.2222,0.7778
Connecticut,CT,343200,766,0.101,93760,41.2,0.491,0.509,0.676,0.107,0.003,0.074,0.003,0.178,0.822
Florida,FL,325000,445,0.131,71711,42.6,0.491,0.509,0.599,0.153,0.003,0.108,0.001,0.2675,0.7325
Georgia,GA,272900,196,0.14,74664,37.4,0.488,0.512,0.525,0.313,0.004,0.037,0.006,0.107,0.893
Idaho,ID,376000,25,0.11,74636,37.1,0.503,0.497,0.833,0.007,0.011,0.021,0.001,0.1333,0.8667
Illinois,IL,250500,230,0.121,81702,38.9,0.494,0.506,0.633,0.138,0.005,0.024,0.004,0.185,0.815
Iowa,IA,195900,58,0.111,73147,38.6,0.501,0.499,0.856,0.039,0.003,0.016,0.002,0.0699,0.9301
Kansas,KS,203400,37,0.117,72639,37.2,0.502,0.498,0.779,0.054,0.007,0.021,0.002,0.1326,0.8674
Louisiana,LA,208700,107,0.196,60023,37.8,0.49,0.51,0.58,0.311,0.006,0.041,0.001,0.0695,0.9305
Maine,ME,266400,46,0.115,71773,44.8,0.492,0.508,0.913,0.017,0.005,0.009,0.001,0.0208,0.9792
Maryland,MD,397700,650,0.103,101652,39.3,0.487,0.513,0.496,0.296,0.004,0.088,0.007,0.1206,0.8794
Massachusetts,MA,525800,924,0.104,101341,40,0.489,0.511,0.707,0.07,0.002,0.072,0.004,0.1294,0.8706
Michigan,MI,217600,180,0.131,71149,40.1,0.496,0.504,0.748,0.134,0.005,0.011,0.003,0.0574,0.9426
Minnesota,MN,305500,73,0.093,87556,38.6,0.501,0.499,0.784,0.068,0.009,0.019,0.003,0.0619,0.9381
Mississippi,MS,161400,63,0.194,54915,38.4,0.485,0.515,0.563,0.37,0.004,0.012,0,0.036,0.964
Missouri,MO,215600,91,0.127,68920,38.9,0.493,0.507,0.783,0.111,0.003,0.014,0.002,0.0506,0.9494
Nebraska,NE,223800,26,0.108,74985,37.1,0.502,0.498,0.799,0.048,0.01,0.031,0.001,0.1232,0.8768
New Hampshire,NH,367200,158,0.084,95628,43.2,0.499,0.501,0.889,0.015,0.001,0.022,0.002,0.0452,0.9548
New Jersey,NJ,427600,1308,0.102,101050,40.1,0.492,0.508,0.569,0.13,0.005,0.133,0.011,0.2194,0.7806
New Mexico,NM,232200,18,0.184,62125,39.2,0.497,0.503,0.536,0.021,0.095,0.154,0.001,0.4815,0.5185
New York,NY,403000,424,0.139,84578,39.6,0.488,0.512,0.571,0.147,0.005,0.115,0.006,0.1962,0.8038
North Carolina,NC,259400,231,0.134,69904,39.1,0.489,0.511,0.633,0.206,0.01,0.039,0.002,0.1095,0.8905
Ohio,OH,199200,292,0.134,69680,39.6,0.493,0.507,0.778,0.123,0.001,0.013,0.001,0.0456,0.9544
Oregon,OR,454200,45,0.122,80426,40.1,0.499,0.501,0.766,0.019,0.011,0.024,0.004,0.1428,0.8572
Pennsylvania,PA,240500,294,0.121,76081,40.9,0.493,0.507,0.758,0.107,0.002,0.031,0.003,0.0838,0.9162
South Carolina,SC,236700,185,0.146,66818,40.1,0.487,0.513,0.641,0.253,0.003,0.025,0.001,0.0708,0.9292
Tennessee,TN,256800,177,0.136,67097,38.9,0.491,0.509,0.735,0.159,0.002,0.025,0.001,0.0711,0.9289
Texas,TX,260400,122,0.142,76292,35.5,0.499,0.501,0.539,0.122,0.006,0.06,0.003,0.3946,0.6054
Vermont,VT,290500,70,0.103,78024,43,0.496,0.504,0.914,0.012,0.002,0.012,0.002,0.0249,0.9751
Virginia,VA,360700,225,0.102,90974,38.8,0.494,0.506,0.617,0.187,0.003,0.067,0.009,0.1073,0.8927
Washington,WA,519800,121,0.099,94952,38.2,0.504,0.496,0.678,0.04,0.012,0.027,0.009,0.1408,0.8592
Wisconsin,WI,247400,111,0.108,75670,0.401,0.501,0.499,0.813,0.061,0.007,0.012,0.001,0.0777,0.9223
