Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU
Argonne National Lab,Illinois,Dry,Storage Facility,41.72,-87.9783,,,,,,,
Savannah River Site,Georgia,Dry/Wet,Storage Facility,33.3403,-81.7453,,,,,,,
BWX Technologies - Fuel Cycle Facility,Virginia,Wet,Other,37.403611,-79.77
Point Beach,Wisconsin,Dry/Wet,NPP,44.2811,-87.5367,1694,643.09,56,1134,443.57,2828,1086.66
Kewaunee,Wisconsin,Dry/Wet,NPP,44.3422,-87.5361,1335,518.7,38,0,0,1335,518.7
Columbia Generating Station,Washington,Dry/Wet,NPP,46.4711,-119.3339,3672,645.63,54,1192,216.19,4864,861.82
Surry,Virginia,Dry/Wet,NPP,37.1656,-76.6978,2824,1295.01,97,830,380.23,3654,1675.24
North Anna,Virginia,Dry/Wet,NPP,38.0606,-77.7894,2397,1111.67,74,1232,569.17,3629,1680.84
Vermont Yankee,Vermont,Dry/Wet,NPP,42.7789,-72.5131,3880,705.66,58,0,0,3880,705.66
South Texas,Texas,Wet,NPP,28.7956,-96.0489,814,436.21,22,2423,1296.93,3237,1733.14
Comanche Peak,Texas,Dry/Wet,NPP,32.2983,-97.785,1728,720.15,54,1901,808.06,3629,1528.21
Watts Bar,Tennessee,Wet,NPP,35.6028,-84.7894,962,443.26,26,790,363.18,1752,806.44
Sequoyah,Tennessee,Dry/Wet,NPP,35.2264,-85.0917,2370,1086.12,70,1548,704.19,3918,1790.31
Summer,South Carolina,Dry/Wet,NPP,34.2986,-81.3147,444,188.81,12,1256,535.78,1700,724.59
Robinson,South Carolina,Dry/Wet,NPP,34.4028,-80.1583,800,346.42,39,302,128.6,1102,475.02
Oconee,South Carolina,Dry/Wet,NPP,34.7939,-82.8981,4080,1907.35,170,1455,695.04,5535,2602.39
Catawba,South Carolina,Dry/Wet,NPP,35.0517,-81.07,1686,757.25,54,2076,929.08,3762,1686.33
Three Mile Island,Pennsylvania,Wet,NPP,40.1539,-76.7247,1663,786.49,46,0,0,1663,786.49
Susqehanna,Pennsylvania,Dry/Wet,NPP,41.0889,-76.1489,7672,1352.67,127,3809,674.47,11481,2027.14
Peach Bottom,Pennsylvania,Dry/Wet,NPP,39.7583,-76.2681,7324,1322.42,104,5478,992.6,12802,2315.02
Limerick,Pennsylvania,Dry/Wet,NPP,40.2267,-75.5872,3889,686.45,61,6166,1118.79,10055,1805.24
Beaver Valley,Pennsylvania,Dry/Wet,NPP,40.6233,-80.4306,740,342.16,20,2374,1096.19,3114,1438.35
Perry,Ohio,Dry/Wet,NPP,41.8008,-81.1433,1877,340.15,27,3055,550.52,4932,890.67
Davis-Besse,Ohio,Dry/Wet,NPP,41.5967,-83.0864,496,238.02,15,1014,481.96,1510,719.98
Shearon Harris,North Carolina,Wet,NPP,35.6333,-78.955,0,0,0,6417,1704.32,6417,1704.32
McGuire,North Carolina,Dry/Wet,NPP,35.4325,-80.9483,2287,1023.87,73,2002,910.7,4289,1934.57
Brunswick,North Carolina,Dry/Wet,NPP,33.9583,-78.0103,3172,561.35,52,2146,470.57,5318,1031.92
Nine Mile Point,New York,Dry/Wet,NPP,43.5208,-76.4069,3330,588.36,50,5706,1019.38,9036,1607.74
Indian Point,New York,Dry/Wet,NPP,41.2697,-73.9522,2443,1070.01,77,1558,706.61,4001,1776.62
Ginna,New York,Dry/Wet,NPP,43.2778,-77.31,448,163.95,14,1109,416.42,1557,580.37
FitzPatrick,New York,Dry/Wet,NPP,43.5233,-76.3983,2176,389.12,32,2428,448.87,4604,837.99
Oyster Creek,New Jersey,Dry/Wet,NPP,39.8147,-74.205,4504,802.24,67,0,0,4504,802.24
