Site,State,Storage,Type,Latitude,Longitude,Dry_Assy,Dry_IU,Casks,Pool_Assy,Pool_IU,Site_Assy,Site_IU,"Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source","HMDA/CRA collection year","MSA/MD Code","FIPS state code","FIPS county code","Census tract","Principal city?","Small county code","Small county description","Split tract code","Split tract description","Demographic data code","Demographic data description","Urban/rural code","Urban/rural description","MSA/MD median family income","MSA/MD median household income","Tract median family income as a percentage of the MSA/MD median family income","FFIEC Estimated MSA/MD median family income","Income indicator","CRA poverty criteria?","CRA unemployment criteria?","CRA distressed criteria?","CRA remote rural (low density) criteria?","Previous year CRA distressed criteria?","Previous year CRA underserved criterion?","Meets at least one of current or previous year's CRA distressed/underserved tract criteria?"
"Argonne National Lab",Illinois,Dry,"Storage Facility",41.72,-87.9783,,,,,,,,41.723327,-87.983151,0.95,rooftop,"18W412 91st St",,"Lemont, IL 60439",18W412,"91st St",,,Lemont,IL,"Dupage County",60439,US,Dupage,2024,16984,17,043,845803,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,92622,74236,82.55,109800,Middle,No,No,No,No,No,No,No
"Savannah River Site",Georgia,Dry/Wet,"Storage Facility",33.3403,-81.7453,,,,,,,,33.343562,-81.740456,0.94,rooftop,"20000 Srs-1",,"Aiken, SC 29808",20000,Srs-1,,,Aiken,SC,"Aiken County",29808,US,"City of Aiken",2024,12260,45,003,980100,No,T,"Tract record",N,"Tract number occurs within one MA",X,"Total persons/population or median family income is 0",R,Rural,67596,55049,0,87100,Unknown,No,No,No,No,No,No,No
"BWX Technologies - Fuel Cycle Facility",Virginia,Wet,Other,37.403611,-79.77,37.401846,-79.773983,0.96,rooftop,"1237 Villamont Church Rd",,"Blue Ridge, VA 24064",1237,"Villamont Church Rd",,,"Blue Ridge",VA,"Bedford County",24064,US,Bedford,2024,31340,51,019,030605,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,70981,56983,98.86,81100,Middle,No,No,No,No,No,No,No
"Point Beach",Wisconsin,Dry/Wet,NPP,44.2811,-87.5367,1694,643.09,56,1134,443.57,2828,1086.66,44.277925,-87.534842,0.96,rooftop,"6610 Nuclear Rd",,"Two Rivers, WI 54241",6610,"Nuclear Rd",,,"Two Rivers",WI,"Manitowoc County",54241,US,Manitowoc,2024,99999,55,071,010100,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,71403,57648,98.25,86700,Middle,No,No,No,No,No,No,No
Kewaunee,Wisconsin,Dry/Wet,NPP,44.3422,-87.5361,1335,518.7,38,0,0,1335,518.7,44.34333,-87.537922,1,rooftop,"N490 Hy",,"Kewaunee, WI 54216",N490,Hy,,,Kewaunee,WI,"Kewaunee County",54216,US,Kewaunee,2024,24580,55,061,960500,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,81870,64951,102.07,96900,Middle,No,No,No,No,No,No,No
"Columbia Generating Station",Washington,Dry/Wet,NPP,46.4711,-119.3339,3672,645.63,54,1192,216.19,4864,861.82,46.4711,-119.3339,0.03,nearest_place,,,"West Richland, WA 99353",,,,,"West Richland",WA,"Benton County",99353,US,"TIGER/Line® dataset from the US Census Bureau",,,,,,,,,,,,,,,,,,,,,,,,,,
Surry,Virginia,Dry/Wet,NPP,37.1656,-76.6978,2824,1295.01,97,830,380.23,3654,1675.24,37.166551,-76.699485,1,rooftop,"5850 Hog Island Rd",,"Surry, VA 23883",5850,"Hog Island Rd",,,Surry,VA,"Surry County",23883,US,"Virginia Geographic Information Network (VGIN)",2024,47260,51,181,860100,No,S,"Small County",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,82516,68237,66.01,100900,Moderate,No,No,No,No,No,No,No
"North Anna",Virginia,Dry/Wet,NPP,38.0606,-77.7894,2397,1111.67,74,1232,569.17,3629,1680.84,38.054437,-77.800255,0.88,rooftop,"1022 Haley Dr",,"Mineral, VA 23117",1022,"Haley Dr",,,Mineral,VA,"Louisa County",23117,US,Louisa,2024,99999,51,109,950102,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,61219,48132,113.61,73900,Middle,No,No,No,No,No,No,No
"Vermont Yankee",Vermont,Dry/Wet,NPP,42.7789,-72.5131,3880,705.66,58,0,0,3880,705.66,42.779048,-72.51303,1,rooftop,"320 Governor Hunt Rd",,"Vernon, VT 05354",320,"Governor Hunt Rd",,,Vernon,VT,"Windham County",05354,US,"Statewide (VT Enhanced 911 Board, VCGI)",2024,99999,50,025,968700,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",M,Mixed,77189,59798,123.63,95000,Upper,No,No,No,No,No,No,No
"South Texas",Texas,Wet,NPP,28.7956,-96.0489,814,436.21,22,2423,1296.93,3237,1733.14,28.796069,-96.049916,1,rooftop,"10960 Farm To Market Rd 521",,"Palacios, TX 77465",10960,"Farm To Market Rd 521",,,Palacios,TX,"Matagorda County",77465,US,"Statewide TX",2024,99999,48,321,730600,No,T,"Tract record",N,"Tract number occurs within one MA",D,"Total persons/population and median family income are not 0",R,Rural,61809,50500,121.06,75500,Upper,No,No,No,No,No,No,No
