,query_coords,latitude,longitude,formatted_address,metro_area_name,metro_area_code,metro_area_type,statefips,countyfips,tractcode,blockcode,full_fips,total_houses,occupied_percent,house_value_median,household_income_median,age_median,total_population,malepercent,femalepercent,nonhispanic_percent,hispanic_percent,white_percent,black_percent,asian_percent,pacificislander_percent,native_percent
0,"41.72,-87.9783",41.727776,-87.983629,"I-55, Joliet, IL 60436","Chicago-Naperville-Elgin, IL-IN",16980,metropolitan,17,17043,845803,1005,170438458031005,812.0,0.871,396900.0,122566.0,55.5,1812.0,0.547,0.453,0.965,0.035,0.953,0.0,0.043,0.0,0.003
1,"33.3403,-81.7453",33.349009,-81.752806,"115 Pioneer Plantation Rd, Jackson, SC 29831","Augusta-Richmond County, GA-SC",12260,metropolitan,45,45003,022100,1005,450030221001005,973.0,0.963,187500.0,48244.0,36.2,2189.0,0.431,0.569,0.967,0.033,0.632,0.347,0.0,0.0,0.0
2,"37.403611,-79.77",37.400404,-79.771029,"1276 Villamont Church Rd, Blue Ridge, VA 24064","Lynchburg, VA",31340,metropolitan,51,51019,030605,3025,510190306053025,453.0,0.815,229000.0,61750.0,61.3,910.0,0.356,0.644,0.953,0.047,0.987,0.001,0.001,0.0,0.0
3,"44.2811,-87.5367",44.284,-87.542814,"6598 E Tapawingo Rd, Two Rivers, WI 54241","Manitowoc, WI",31820,micropolitan,55,55071,010100,1001,550710101001001,401.0,0.698,210500.0,67250.0,55.1,619.0,0.522,0.478,0.99,0.01,0.984,0.003,0.0,0.0,0.0
4,"44.3422,-87.5361",44.34333,-87.537922,"N490 Hy, Kewaunee, WI 54216","Green Bay, WI",24580,metropolitan,55,55061,960500,1005,550619605001005,587.0,0.794,256100.0,80750.0,45.7,1022.0,0.502,0.498,0.997,0.003,0.995,0.0,0.0,0.0,0.0
5,"46.4711,-119.3339",46.4711,-119.3339,"West Richland, WA 99353","Kennewick-Richland, WA",28420,metropolitan,53,53005,012000,1013,530050120001013,,,,,,,,,,,,,,,
6,"37.1656,-76.6978",37.166551,-76.699485,"5850 Hog Island Rd, Surry, VA 23883","Virginia Beach-Chesapeake-Norfolk, VA-NC",47260,metropolitan,51,51181,860100,1006,511818601001006,503.0,0.871,307200.0,68269.0,57.0,1100.0,0.481,0.519,0.991,0.009,0.393,0.599,0.0,0.0,0.0
7,"42.7789,-72.5131",42.779567,-72.514373,"320 Governor Hunt Rd, Vernon, VT 05354","Brattleboro, VT",14710,micropolitan,50,50025,968700,3019,500259687003019,977.0,0.969,260900.0,79601.0,42.6,2444.0,0.524,0.476,1.0,0.0,0.939,0.003,0.006,0.0,0.0
8,"28.7956,-96.0489",28.796069,-96.049916,"10960 Farm To Market Rd 521, Palacios, TX 77465","Bay City, TX",13060,micropolitan,48,48321,730600,1006,483217306001006,691.0,0.731,312900.0,76115.0,53.2,1237.0,0.642,0.358,0.534,0.466,0.658,0.0,0.206,0.0,0.0
9,"35.2264,-85.0917",35.226635,-85.092021,"2600 Igou Ferry Rd, Soddy Daisy, TN 37379","Chattanooga, TN-GA",16860,metropolitan,47,47065,010304,4001,470650103044001,0.0,0.0,-666666666.0,-666666666.0,-666666666.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
